ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
6|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2320|NA
6|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3057|NA
6|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11714|NA
6|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2635|NA
6|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2714|NA
6|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|74|NA
6|java|fastaredux|native|NA|NA|NA|NA|NA|NA|NA|NA|4643|NA
6|java|regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|2663|NA
6|java|Havlak|native|NA|NA|NA|NA|NA|NA|NA|NA|2186|NA
6|java|fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|8565|NA
6|java|pubspec.lock|native|NA|NA|NA|NA|NA|NA|NA|NA|63|NA
6|java|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|5311|NA
6|java|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|9027|NA
7|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2321|NA
7|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3046|NA
7|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11589|NA
7|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2613|NA
7|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2750|NA
7|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|74|NA
7|java|fastaredux|native|NA|NA|NA|NA|NA|NA|NA|NA|4594|NA
7|java|regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|2669|NA
7|java|Havlak|native|NA|NA|NA|NA|NA|NA|NA|NA|2190|NA
7|java|fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|8564|NA
7|java|pubspec.lock|native|NA|NA|NA|NA|NA|NA|NA|NA|64|NA
7|java|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|5291|NA
7|java|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|9123|NA
