Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2189,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8314,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5301,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9026,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2320,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3057,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11714,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2635,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2714,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4643,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2663,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2186,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8565,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5311,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9027,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2321,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3046,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11589,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2613,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2750,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4594,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2669,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2190,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8564,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5291,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9123,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2318,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3063,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11597,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2620,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2708,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
