Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
c++,fannkuch-redux,native,NA,NA,NA,NA,NA,NA,NA,NA,156,NA
c++,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,611,NA
c++,float-mm,native,NA,NA,NA,NA,NA,NA,NA,NA,197,NA
c++,gcc-loops,native,NA,NA,NA,NA,NA,NA,NA,NA,1573,NA
c++,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1071,NA
c++,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,68,NA
c++,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,498,NA
c++,quicksort,native,NA,NA,NA,NA,NA,NA,NA,NA,2441,NA
c++,spectral-norm,native,NA,NA,NA,NA,NA,NA,NA,NA,4539,NA
c++,towers,native,NA,NA,NA,NA,NA,NA,NA,NA,365,NA
c++,zlib,native,NA,NA,NA,NA,NA,NA,NA,NA,413,NA
c++,bigfib,native,NA,NA,NA,NA,NA,NA,NA,NA,184,NA
c++,binary-trees,native,NA,NA,NA,NA,NA,NA,NA,NA,1942,NA
c++,container,native,NA,NA,NA,NA,NA,NA,NA,NA,2569,NA
c++,dry,native,NA,NA,NA,NA,NA,NA,NA,NA,3436,NA
c++,fannkuch-redux,native,NA,NA,NA,NA,NA,NA,NA,NA,157,NA
c++,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,612,NA
c++,float-mm,native,NA,NA,NA,NA,NA,NA,NA,NA,198,NA
c++,gcc-loops,native,NA,NA,NA,NA,NA,NA,NA,NA,1577,NA
c++,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1070,NA
c++,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,67,NA
c++,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,498,NA
c++,quicksort,native,NA,NA,NA,NA,NA,NA,NA,NA,2442,NA
c++,spectral-norm,native,NA,NA,NA,NA,NA,NA,NA,NA,4539,NA
c++,towers,native,NA,NA,NA,NA,NA,NA,NA,NA,367,NA
c++,zlib,native,NA,NA,NA,NA,NA,NA,NA,NA,419,NA
c++,bigfib,native,NA,NA,NA,NA,NA,NA,NA,NA,184,NA
c++,binary-trees,native,NA,NA,NA,NA,NA,NA,NA,NA,1934,NA
c++,container,native,NA,NA,NA,NA,NA,NA,NA,NA,2571,NA
c++,dry,native,NA,NA,NA,NA,NA,NA,NA,NA,3436,NA
c++,fannkuch-redux,native,NA,NA,NA,NA,NA,NA,NA,NA,157,NA
c++,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,612,NA
c++,float-mm,native,NA,NA,NA,NA,NA,NA,NA,NA,197,NA
c++,gcc-loops,native,NA,NA,NA,NA,NA,NA,NA,NA,1578,NA
c++,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1074,NA
c++,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,68,NA
c++,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,498,NA
c++,quicksort,native,NA,NA,NA,NA,NA,NA,NA,NA,2441,NA
c++,spectral-norm,native,NA,NA,NA,NA,NA,NA,NA,NA,4541,NA
c++,towers,native,NA,NA,NA,NA,NA,NA,NA,NA,365,NA
c++,zlib,native,NA,NA,NA,NA,NA,NA,NA,NA,413,NA
c++,bigfib,native,NA,NA,NA,NA,NA,NA,NA,NA,184,NA
c++,binary-trees,native,NA,NA,NA,NA,NA,NA,NA,NA,1942,NA
c++,container,native,NA,NA,NA,NA,NA,NA,NA,NA,2556,NA
c++,dry,native,NA,NA,NA,NA,NA,NA,NA,NA,3436,NA
c++,fannkuch-redux,native,NA,NA,NA,NA,NA,NA,NA,NA,156,NA
c++,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,611,NA
c++,float-mm,native,NA,NA,NA,NA,NA,NA,NA,NA,198,NA
c++,gcc-loops,native,NA,NA,NA,NA,NA,NA,NA,NA,1578,NA
c++,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1070,NA
c++,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,68,NA
c++,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,498,NA
c++,quicksort,native,NA,NA,NA,NA,NA,NA,NA,NA,2441,NA
c++,spectral-norm,native,NA,NA,NA,NA,NA,NA,NA,NA,4538,NA
c++,towers,native,NA,NA,NA,NA,NA,NA,NA,NA,366,NA
c++,zlib,native,NA,NA,NA,NA,NA,NA,NA,NA,416,NA
c++,bigfib,native,NA,NA,NA,NA,NA,NA,NA,NA,184,NA
