ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
8|java|shootout-mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2263|NA
9|java|shootout-mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2262|NA
0|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3434|NA
1|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3421|NA
2|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3411|NA
3|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3413|NA
4|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3410|NA
5|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3414|NA
6|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3427|NA
7|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3410|NA
8|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3410|NA
9|java|shootout-nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3412|NA
0|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5131|NA
1|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5126|NA
2|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5178|NA
3|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5135|NA
4|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5135|NA
5|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5116|NA
6|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5132|NA
7|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5157|NA
8|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5127|NA
9|java|shootout-spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|5118|NA
