ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
4|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|40009|NA
4|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2006|NA
5|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|446|NA
5|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|455|NA
5|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|5980|NA
5|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|3041|NA
5|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|527|NA
5|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1861|NA
5|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|912|NA
5|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|546|NA
5|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|3741|NA
5|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|986|NA
5|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|367|NA
5|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|44909|NA
5|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2034|NA
6|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|451|NA
6|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|435|NA
6|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|7320|NA
6|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2923|NA
6|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|470|NA
6|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1860|NA
6|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|1054|NA
6|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|548|NA
6|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|3928|NA
6|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|814|NA
6|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|283|NA
6|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|41087|NA
6|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2013|NA
7|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|331|NA
7|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|379|NA
7|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|5584|NA
7|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2819|NA
7|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|543|NA
7|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1869|NA
7|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|864|NA
7|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|522|NA
7|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|4159|NA
7|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|784|NA
7|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|359|NA
7|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|40957|NA
7|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2028|NA
8|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|452|NA
8|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|449|NA
8|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|5969|NA
8|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2961|NA
