Benchmark,Language,Transform,NewMethod,Time
DeltaBlue,scala,original,direct,2510
Richards,scala,original,direct,3659
SHA512,scala,original,direct,4445
Sudoku,scala,original,direct,3407
binarytrees,clojurescript,original,wrapper,3038
collatz,clojurescript,original,wrapper,1589
fannkuch,clojurescript,original,wrapper,1667
mandelbrot,clojurescript,original,wrapper,2819
memuse,clojurescript,original,wrapper,1531
meteor,clojurescript,original,wrapper,2881
nbody,clojurescript,original,wrapper,2450
pidigits,clojurescript,original,wrapper,1278
spectralnorm,clojurescript,original,wrapper,1520
DeltaBlue,dart_dart2js,original,wrapper,2110
FluidMotion,dart_dart2js,original,wrapper,951
Richards,dart_dart2js,original,wrapper,816
Tracer,dart_dart2js,original,wrapper,3197
almabench,ocaml,original,wrapper,1531
bdd,ocaml,original,wrapper,1262
fft,ocaml,original,wrapper,1394
fib,ocaml,original,wrapper,1183
hamming,ocaml,original,wrapper,2189
kb,ocaml,original,wrapper,2133
lens,ocaml,original,wrapper,2556
lexifi_g2pp,ocaml,original,wrapper,2545
nucleic,ocaml,original,wrapper,1704
sequence,ocaml,original,wrapper,2073
b,python_pyjs,original,wrapper,2522
binary_trees,python_pyjs,original,wrapper,2093
gcbench,python_pyjs,original,wrapper,2258
nbody,python_pyjs,original,wrapper,3249
pystone,python_pyjs,original,wrapper,2706
raytrace_simple,python_pyjs,original,wrapper,3506
richards,python_pyjs,original,wrapper,2915
schulze,python_pyjs,original,wrapper,2458
spectral_norm,python_pyjs,original,wrapper,2948
ack,racket_racketscript,original,wrapper,1919
dderiv,racket_racketscript,original,wrapper,2229
deriv,racket_racketscript,original,wrapper,2446
destruc,racket_racketscript,original,wrapper,2183
diviter,racket_racketscript,original,wrapper,2242
divrec,racket_racketscript,original,wrapper,2431
graphs,racket_racketscript,original,wrapper,1898
lattice,racket_racketscript,original,wrapper,2333
takl,racket_racketscript,original,wrapper,2064
DeltaBlue,scala,original,wrapper,2341
Richards,scala,original,wrapper,3171
SHA512,scala,original,wrapper,4122
Sudoku,scala,original,wrapper,3501
