Benchmark,Language,Transform,NewMethod,TimesBlowup
raytrace_simple,python_pyjs,original,direct,1.0074816056132263
richards,python_pyjs,original,direct,1.0077290197237825
schulze,python_pyjs,original,direct,1.0059503271377885
spectral_norm,python_pyjs,original,direct,1.0075857591760136
ack,racket_racketscript,original,direct,1.0079407728949388
dderiv,racket_racketscript,original,direct,1.0078552628216595
deriv,racket_racketscript,original,direct,1.0078521251612307
destruc,racket_racketscript,original,direct,1.0079571474455278
diviter,racket_racketscript,original,direct,1.007850166893312
divrec,racket_racketscript,original,direct,1.0078467538757194
graphs,racket_racketscript,original,direct,1.0080441010767576
lattice,racket_racketscript,original,direct,1.0079630092222047
takl,racket_racketscript,original,direct,1.0079337810401374
DeltaBlue,scala,original,direct,1.0065758917285452
Richards,scala,original,direct,1.0066497960535294
SHA512,scala,original,direct,1.0062142847286215
Sudoku,scala,original,direct,1.0065905170092535
binarytrees,clojurescript,original,wrapper,1.009936039434463
collatz,clojurescript,original,wrapper,1.0122489211573367
fannkuch,clojurescript,original,wrapper,1.0123217911780653
mandelbrot,clojurescript,original,wrapper,1.0099431325635424
memuse,clojurescript,original,wrapper,1.0123386741641542
meteor,clojurescript,original,wrapper,1.0098835025977724
nbody,clojurescript,original,wrapper,1.0098358829804097
pidigits,clojurescript,original,wrapper,1.012248084711853
spectralnorm,clojurescript,original,wrapper,1.01224470330142
DeltaBlue,dart_dart2js,original,wrapper,1.0075318283941372
FluidMotion,dart_dart2js,original,wrapper,1.0064397985655424
Richards,dart_dart2js,original,wrapper,1.0078104090123847
Tracer,dart_dart2js,original,wrapper,1.006614897900489
almabench,ocaml,original,wrapper,1.0092702240403824
bdd,ocaml,original,wrapper,1.0122954666332948
fft,ocaml,original,wrapper,1.0101690457753167
fib,ocaml,original,wrapper,1.0104625297230958
nucleic,ocaml,original,wrapper,1.0067696945828863
b,python_pyjs,original,wrapper,1.0076388170458581
binary_trees,python_pyjs,original,wrapper,1.007594142604791
gcbench,python_pyjs,original,wrapper,1.0075779487476137
nbody,python_pyjs,original,wrapper,1.0073535747366607
pystone,python_pyjs,original,wrapper,1.0075248567210837
raytrace_simple,python_pyjs,original,wrapper,1.0074816056132263
richards,python_pyjs,original,wrapper,1.0077290197237825
schulze,python_pyjs,original,wrapper,1.0059503271377885
spectral_norm,python_pyjs,original,wrapper,1.0075857591760136
ack,racket_racketscript,original,wrapper,1.0079407728949388
dderiv,racket_racketscript,original,wrapper,1.0078552628216595
deriv,racket_racketscript,original,wrapper,1.0078521251612307
destruc,racket_racketscript,original,wrapper,1.0079571474455278
diviter,racket_racketscript,original,wrapper,1.007850166893312
divrec,racket_racketscript,original,wrapper,1.0078467538757194
graphs,racket_racketscript,original,wrapper,1.0080441010767576
lattice,racket_racketscript,original,wrapper,1.0079630092222047
takl,racket_racketscript,original,wrapper,1.0079337810401374
DeltaBlue,scala,original,wrapper,1.0065758917285452
Richards,scala,original,wrapper,1.0066497960535294
SHA512,scala,original,wrapper,1.0062142847286215
Sudoku,scala,original,wrapper,1.0065905170092535
